train_no,timestamp,latitude,longitude,speed_kmph,current_delay_min,distance_to_station_km,historical_travel_time_min,previous_delay_min,congestion_index,expected_dwell_min,signal_delay_min,maintenance_block,level_crossing_delay_min,actual_remaining_time_min
13006,2026-09-02T21:13:00Z,22.420526,88.526987,38.37,28.67,147.25,221.99,18.28,0.128,5.54,5.5,0,2.96,242.38
12302,2026-09-03T00:20:00Z,22.554241,88.175334,39.33,0.25,164.29,267.88,0,0.354,7.16,2.81,0,0,261.31
13006,2026-09-04T03:27:00Z,22.487002,88.2883,58.28,11.56,127.71,149.52,12.28,0.308,4.66,0.63,0,3.02,151.04
13006,2026-09-05T06:34:00Z,22.577425,88.370198,87.73,20.73,29.31,23.84,16.41,0.037,4.47,3.84,0,3.36,31.42
12020,2026-09-06T09:41:00Z,22.611471,88.397626,66.29,17.05,44.59,42.81,18.78,0.11,3.89,0.37,0,1.85,48.02
12019,2026-09-07T12:48:00Z,22.630619,88.150879,110.11,1.21,102.53,63.08,2.45,0.393,6.37,1.0,0,0,64.85
12019,2026-09-08T15:55:00Z,22.725576,88.307159,104.69,11.33,173.7,99.77,3.62,0.147,6.05,2.16,0,0.46,104.65
12020,2026-09-09T18:02:00Z,22.593629,88.323124,104.21,10.14,36.73,21.54,8.6,0.59,4.2,2.35,0,0.25,35.99
13005,2026-09-01T21:09:00Z,22.495759,88.535437,73.46,10.44,92.97,92.82,13.35,0.152,3.69,4.97,0,3.4,93.8
12019,2026-09-02T00:16:00Z,22.635331,88.542534,70.76,4.87,26.61,23.57,0,0.133,7.55,1.63,0,0.46,27.74
13006,2026-09-03T03:23:00Z,22.707117,88.318955,117.77,18.91,34.47,19.14,13.77,0.462,5.97,1.46,0,2.66,28.25
12301,2026-09-04T06:30:00Z,22.658822,88.495937,77.05,6.79,7.47,5.53,3.86,0.137,3.07,2.56,0,0.82,15.68
13006,2026-09-05T09:37:00Z,22.704097,88.494178,88.24,22.08,71.83,52.69,24.32,0.187,7.76,0,1,1.16,64.78
12020,2026-09-06T12:44:00Z,22.532019,88.321403,104.7,0,164.33,107.98,0,0.258,3.06,4.37,0,3.24,112.73
13005,2026-09-07T15:51:00Z,22.582212,88.464503,53.78,20.66,31.48,42.01,26.26,0.381,1.51,3.6,0,0,48.17
12302,2026-09-08T18:58:00Z,22.555984,88.511799,67.43,11.25,98.06,81.33,14.65,0.351,4.71,7.13,0,1.14,103.01
13005,2026-09-09T21:05:00Z,22.503752,88.410611,112.67,10.82,46.16,22.46,14.51,0.52,6.39,2.79,0,0,34.81
12019,2026-09-01T00:12:00Z,22.728913,88.448756,76.25,21.96,170.83,128.86,20.28,0.272,1.73,0.06,0,0.65,138.78
12302,2026-09-02T03:19:00Z,22.536326,88.197322,32.14,0,129.89,221.46,2.8,0.13,3.85,3.08,0,0.12,240.06
12301,2026-09-03T06:26:00Z,22.565896,88.363387,87.73,0,112.45,89.56,0,0.204,3.11,5.73,0,2.52,90.77
12302,2026-09-04T09:33:00Z,22.600452,88.307633,97.21,19.0,144.03,106.44,17.03,0.195,1.08,5.5,0,1.48,108.6
13005,2026-09-05T12:40:00Z,22.697986,88.522948,115.23,17.55,56.93,34.44,14.93,0.286,2.55,3.81,0,0.35,42.75
13005,2026-09-06T15:47:00Z,22.511225,88.330258,71.51,0,100.29,84.29,2.07,0.534,5.59,4.51,0,0,92.04
13005,2026-09-07T18:54:00Z,22.671168,88.344789,89.35,0,125.74,80.5,0,0.184,2.94,0.82,0,2.95,86.32
12301,2026-09-08T21:01:00Z,22.593058,88.367388,45.82,11.36,110.37,172.66,13.1,0.351,5.07,2.55,0,0,163.18
13005,2026-09-09T00:08:00Z,22.458045,88.355655,72.49,12.87,140.21,119.31,21.35,0.486,3.78,1.0,0,1.17,129.25
12020,2026-09-01T03:15:00Z,22.58126,88.466584,44.33,0,103.25,153.44,1.95,0.747,2.62,4.18,0,1.42,163.57
12020,2026-09-02T06:22:00Z,22.692414,88.356665,72.27,18.78,83.47,63.5,18.25,0.312,2.84,2.06,0,0.95,73.3
12020,2026-09-03T09:29:00Z,22.452584,88.212943,117.54,20.9,42.45,22.58,22.79,0.878,4.08,3.83,0,0,38.27
13005,2026-09-04T12:36:00Z,22.413717,88.378908,94.56,15.99,23.94,14.9,8.59,0.441,6.83,4.35,0,1.26,29.69
12301,2026-09-05T15:43:00Z,22.568584,88.237746,44.97,21.95,166.27,239.77,11.02,0.323,7.63,6.25,0,0,240.87
12020,2026-09-06T18:50:00Z,22.576526,88.317918,84.08,16.09,143.65,121.7,22.77,0.262,5.13,3.3,0,2.67,125.21
12302,2026-09-07T21:57:00Z,22.637496,88.322599,84.5,28.93,34.4,29.7,20.63,0.56,7.31,1.83,0,4.73,43.31
12020,2026-09-08T00:04:00Z,22.700669,88.263307,63.33,12.31,10.69,10.99,21.24,0.484,6.33,3.64,0,0.56,21.88
13005,2026-09-09T03:11:00Z,22.548247,88.296258,66.78,11.04,36.46,37.61,12.65,0.492,2.08,1.42,0,1.13,49.36
12019,2026-09-01T06:18:00Z,22.48042,88.463244,119.26,0,73.35,35.84,0,0.175,5.04,3.01,0,0,43.27
12302,2026-09-02T09:25:00Z,22.529792,88.393612,39.03,6.2,92.98,167.98,8.37,0.184,4.3,0.12,0,2.2,161.48
13006,2026-09-03T12:32:00Z,22.60983,88.356325,64.59,0,177.25,183.57,0,0.261,4.07,3.92,0,3.29,183.86
12302,2026-09-04T15:39:00Z,22.721712,88.369837,85.37,12.55,122.3,88.19,4.89,0.13,3.84,0,0,3.53,93.72
13006,2026-09-05T18:46:00Z,22.70664,88.475259,104.68,17.83,164.96,96.61,16.91,0.487,1.75,5.45,0,1.75,112.06
13005,2026-09-06T21:53:00Z,22.67603,88.238153,52.51,0,81.37,95.94,0,0.203,7.03,2.97,0,1.13,104.65
13006,2026-09-07T00:00:00Z,22.6574,88.499097,50.69,8.61,58.88,86.03,8.54,0.144,2.88,5.44,0,0.46,84.47
12302,2026-09-08T03:07:00Z,22.714342,88.502395,50.63,10.04,150.78,213.13,4.67,0.512,7.71,6.78,0,0.3,210.46
13005,2026-09-09T06:14:00Z,22.741778,88.429298,108.19,17.01,89.87,62.03,14.96,0.417,4.35,1.38,0,0.75,63.91
12020,2026-09-01T09:21:00Z,22.54838,88.317637,58.41,4.29,4.49,5.24,2.62,0.386,2.89,4.18,0,0.67,15.96
12019,2026-09-02T12:28:00Z,22.40341,88.318608,62.86,0,73.9,74.62,0,0.354,4.89,4.24,0,0.42,81.6
12302,2026-09-03T15:35:00Z,22.620452,88.329942,119.6,0,153.34,83.15,0,0.217,5.83,0,1,1.87,90.6
12019,2026-09-04T18:42:00Z,22.578656,88.459898,53.38,13.38,66.77,82.2,9.11,0.234,5.04,1.47,0,0,83.96
12020,2026-09-05T21:49:00Z,22.479876,88.276751,110.07,18.66,70.45,38.41,16.77,0.204,5.0,1.99,0,2.0,48.35
12019,2026-09-06T00:56:00Z,22.538966,88.188221,93.94,23.27,110.15,73.06,17.61,0.49,1.88,4.11,0,2.34,85.5
12020,2026-09-07T03:03:00Z,22.445947,88.485407,79.36,3.12,7.67,6.02,3.32,0.178,3.17,1.88,0,0.75,14.93
12301,2026-09-08T06:10:00Z,22.552242,88.405915,33.16,17.38,66.16,146.07,13.15,0.583,7.64,1.74,0,0.71,143.3
13005,2026-09-09T09:17:00Z,22.731435,88.340827,57.87,0,64.45,72.76,1.82,0.172,3.41,0.65,0,4.58,77.82
12301,2026-09-01T12:24:00Z,22.580814,88.469984,98.93,13.65,144.24,97.01,7.62,0.192,6.0,0.48,0,0,99.66
13005,2026-09-02T15:31:00Z,22.465726,88.157758,102.68,16.69,124.18,72.54,16.29,0.418,5.46,0.04,0,0.91,84.46
12301,2026-09-03T18:38:00Z,22.662699,88.208435,117.27,8.96,6.92,4.39,11.5,0.413,6.5,1.72,0,1.21,15.0
12019,2026-09-04T21:45:00Z,22.411729,88.334334,99.81,10.81,15.64,10.01,14.22,0.715,2.74,8.45,0,0,29.09
12301,2026-09-05T00:52:00Z,22.476226,88.195171,76.9,6.39,176.83,147.0,2.46,0.515,4.65,4.0,0,3.34,159.78
13006,2026-09-06T03:59:00Z,22.574972,88.424378,69.07,0,5.67,5.8,0,0.187,5.82,1.73,0,1.35,9.84
12019,2026-09-07T06:06:00Z,22.641237,88.293267,113.78,23.38,179.46,105.88,26.02,0.63,7.87,5.33,0,0,114.9
12302,2026-09-08T09:13:00Z,22.45612,88.362455,52.56,12.46,9.99,13.08,6.63,0.314,4.28,2.35,0,0,16.63
12020,2026-09-09T12:20:00Z,22.583424,88.34902,56.61,24.26,49.61,54.08,24.29,0.627,6.43,4.73,0,3.59,69.97
13005,2026-09-01T15:27:00Z,22.40458,88.518414,43.87,7.6,53.11,75.79,6.62,0.415,5.13,4.47,1,1.64,98.31
13006,2026-09-02T18:34:00Z,22.730611,88.534235,74.23,11.12,160.49,120.39,9.44,0.394,5.96,4.28,1,0.14,146.43
12301,2026-09-03T21:41:00Z,22.645893,88.32083,39.11,13.64,43.89,69.68,16.2,0.35,6.22,6.14,0,0,79.8
12301,2026-09-04T00:48:00Z,22.724151,88.251636,45.01,6.93,34.93,48.45,9.44,0.3,4.01,2.79,0,0,56.29
12020,2026-09-05T03:55:00Z,22.641402,88.260383,70.27,26.6,73.29,72.22,33.29,0.417,2.55,3.38,0,3.96,83.69
13005,2026-09-06T06:02:00Z,22.570897,88.50961,76.01,19.21,104.01,90.31,22.32,0.22,4.99,1.61,1,0.76,100.99
13006,2026-09-07T09:09:00Z,22.704425,88.240687,81.86,20.24,163.66,132.95,17.72,0.635,3.44,7.62,0,0,145.27
13006,2026-09-08T12:16:00Z,22.601339,88.186033,106.45,7.75,167.37,105.83,6.52,0.324,5.88,5.01,0,3.04,117.16
12020,2026-09-09T15:23:00Z,22.570751,88.410899,56.08,6.97,72.8,73.7,12.63,0.182,6.42,4.02,0,2.47,89.83
12302,2026-09-01T18:30:00Z,22.459239,88.289887,80.51,10.38,179.48,144.94,14.31,0.275,3.9,2.24,0,1.93,146.0
12020,2026-09-02T21:37:00Z,22.50069,88.287309,86.09,0,80.96,69.04,0.79,0.316,2.7,6.29,0,2.9,79.0
12301,2026-09-03T00:44:00Z,22.48941,88.174044,57.46,9.57,86.4,91.68,6.12,0.341,7.95,2.36,0,0,101.9
12302,2026-09-04T03:51:00Z,22.480909,88.30228,101.03,3.19,112.38,61.31,2.83,0.166,7.05,2.45,1,2.66,78.49
13006,2026-09-05T06:58:00Z,22.482672,88.541298,38.96,3.7,58.84,109.02,3.07,0.433,3.33,2.81,0,1.74,106.88
13005,2026-09-06T09:05:00Z,22.546067,88.379159,54.83,21.23,13.98,15.14,4.31,0.407,4.65,9.43,0,2.79,30.47
12020,2026-09-07T12:12:00Z,22.450803,88.523212,117.35,3.43,164.02,85.14,2.54,0.093,3.16,1.7,0,0,94.98
12302,2026-09-08T15:19:00Z,22.712946,88.5233,58.57,9.26,101.65,128.28,12.48,0.502,3.9,5.19,0,0,129.72
12019,2026-09-09T18:26:00Z,22.564067,88.409827,43.68,38.81,36.26,47.13,41.21,0.356,2.62,4.23,0,1.3,66.52
12302,2026-09-01T21:33:00Z,22.703495,88.345977,106.69,24.44,89.99,47.98,24.89,0.159,6.3,3.11,1,5.12,68.59
12019,2026-09-02T00:40:00Z,22.559915,88.501107,108.01,12.24,160.1,93.35,5.49,0.589,5.0,1.57,0,0.72,102.18
12302,2026-09-03T03:47:00Z,22.614597,88.171819,76.68,11.15,73.02,66.12,5.52,0.488,3.13,3.1,0,0,71.23
13005,2026-09-04T06:54:00Z,22.708892,88.186072,111.33,19.93,85.05,51.62,23.1,0.085,3.75,2.14,0,1.5,60.88
12019,2026-09-05T09:01:00Z,22.532538,88.302243,92.25,0,163.57,125.4,0,0.159,3.69,1.63,0,0,118.64
12302,2026-09-06T12:08:00Z,22.617896,88.251244,112.1,21.84,103.09,62.4,29.99,0.19,6.38,0.11,0,1.9,68.67
12020,2026-09-07T15:15:00Z,22.620022,88.478049,74.79,14.95,91.26,86.59,10.41,0.204,5.21,1.35,1,2.09,93.9
12302,2026-09-08T18:22:00Z,22.608239,88.464923,34.4,29.09,29.24,57.56,31.33,0.508,1.34,2.94,0,1.67,64.8
12302,2026-09-09T21:29:00Z,22.700793,88.281683,116.97,0.14,135.63,71.39,8.48,0.155,6.9,3.38,1,0.45,86.75
12020,2026-09-01T00:36:00Z,22.748259,88.291541,77.22,22.51,126.16,109.23,27.64,0.41,7.54,5.28,0,1.09,117.51
12302,2026-09-02T03:43:00Z,22.545121,88.168197,85.29,21.16,90.86,73.84,12.08,0.39,6.58,3.61,0,1.75,84.07
12019,2026-09-03T06:50:00Z,22.46147,88.282206,80.44,12.46,115.84,78.11,16.33,0.516,1.04,3.35,0,0,92.94
12019,2026-09-04T09:57:00Z,22.582376,88.375977,113.01,8.38,87.8,49.7,11.01,0.085,4.24,2.58,0,1.66,55.1
13006,2026-09-05T12:04:00Z,22.510075,88.162651,58.4,2.93,97.85,97.82,0,0.054,5.0,0.15,0,2.49,103.77
12020,2026-09-06T15:11:00Z,22.716735,88.211631,37.81,0,158.24,258.64,2.03,0.392,2.41,2.08,0,0,261.16
12019,2026-09-07T18:18:00Z,22.608001,88.18483,113.13,10.89,132.64,76.21,8.14,0.755,4.22,4.47,1,0,98.5
12020,2026-09-08T21:25:00Z,22.495429,88.212998,110.03,3.71,21.25,13.54,3.68,0.615,3.01,4.03,0,1.52,21.67
12301,2026-09-09T00:32:00Z,22.564757,88.420198,31.37,12.5,113.26,233.92,16.97,0.188,2.71,5.24,0,2.09,235.09
12301,2026-09-01T03:39:00Z,22.427491,88.519114,64.52,11.83,18.24,17.59,8.87,0.424,3.33,0,0,1.34,20.19
12020,2026-09-02T06:46:00Z,22.721043,88.282131,81.1,8.56,19.45,16.99,6.42,0.168,7.63,5.3,0,3.7,27.88
12019,2026-09-03T09:53:00Z,22.627308,88.466972,70.8,14.82,8.36,7.55,11.51,0.146,1.72,4.37,0,1.59,14.4
13005,2026-09-04T12:00:00Z,22.634362,88.445747,71.49,10.23,107.52,88.76,13.17,0.443,4.02,6.34,0,0.96,103.36
13006,2026-09-05T15:07:00Z,22.710542,88.511302,81.68,4.21,89.13,72.5,0,0.086,4.46,2.93,0,3.53,79.55
13006,2026-09-06T18:14:00Z,22.720291,88.546116,102.89,2.06,137.0,90.39,3.27,0.522,3.1,4.92,0,0,99.59
13005,2026-09-07T21:21:00Z,22.482334,88.430889,30.73,3.84,177.6,361.13,6.74,0.522,6.75,5.29,0,3.13,365.51
12020,2026-09-08T00:28:00Z,22.626936,88.207598,86.27,3.67,128.98,93.49,5.04,0.157,3.52,1.2,0,1.81,97.75
12020,2026-09-09T03:35:00Z,22.53465,88.240296,89.21,11.08,175.57,111.88,16.98,0.511,5.36,6.79,0,0,132.7
12020,2026-09-01T06:42:00Z,22.655953,88.543432,84.41,10.98,105.3,89.54,16.86,0.333,4.98,3.06,0,0.49,91.1
12019,2026-09-02T09:49:00Z,22.672484,88.337548,71.84,4.85,16.85,17.05,9.65,0.7,6.59,5.99,0,2.5,34.46
13005,2026-09-03T12:56:00Z,22.629712,88.266701,111.54,0,104.59,57.16,11.01,0.181,3.13,3.06,0,0.06,60.83
13006,2026-09-04T15:03:00Z,22.452897,88.328661,86.19,3.85,53.77,34.77,0,0.291,1.1,3.03,0,2.12,47.54
12302,2026-09-05T18:10:00Z,22.623151,88.234343,53.51,16.08,127.04,152.37,6.6,0.402,2.08,0,0,1.32,153.76
13006,2026-09-06T21:17:00Z,22.491919,88.362177,105.76,20.74,12.62,7.1,21.44,0.323,7.46,2.7,0,0.59,15.82
12020,2026-09-07T00:24:00Z,22.518092,88.426111,31.07,0,167.12,341.18,0,0.437,3.74,4.23,0,0,339.19
12302,2026-09-08T03:31:00Z,22.607949,88.507587,58.19,6.52,4.87,4.54,11.2,0.401,2.76,4.45,1,0.82,23.54
12302,2026-09-09T06:38:00Z,22.623573,88.519078,115.54,24.36,115.94,69.11,31.11,0.068,7.77,4.72,0,0,69.55
12019,2026-09-01T09:45:00Z,22.424289,88.541769,99.24,14.84,125.52,86.03,15.32,0.744,7.97,3.44,0,1.56,95.28
12302,2026-09-02T12:52:00Z,22.452099,88.406134,84.93,20.58,34.58,26.2,27.31,0.09,1.72,4.69,0,2.06,31.57
12301,2026-09-03T15:59:00Z,22.401158,88.531662,89.81,17.1,50.16,38.37,22.5,0.344,6.91,1.9,0,1.61,44.04
12020,2026-09-04T18:06:00Z,22.594066,88.537005,40.91,5.75,97.75,178.79,9.42,0.072,6.97,0.23,0,3.63,166.34
13006,2026-09-05T21:13:00Z,22.422047,88.366221,47.19,16.53,126.17,194.71,13.31,0.079,2.35,0.94,0,0,178.17
12019,2026-09-06T00:20:00Z,22.659368,88.243194,74.97,11.78,173.8,164.7,11.59,0.192,2.48,1.39,0,0,158.06
12301,2026-09-07T03:27:00Z,22.459741,88.386417,33.32,0.97,28.06,57.04,0,0.151,1.35,3.41,0,1.65,57.71
12301,2026-09-08T06:34:00Z,22.415955,88.219379,40.28,16.21,108.31,179.98,17.51,0.186,1.85,1.73,0,0,177.58
12301,2026-09-09T09:41:00Z,22.462794,88.185656,40.87,8.48,28.0,42.97,6.37,0.185,6.44,0.34,1,1.03,55.57
13006,2026-09-01T12:48:00Z,22.430807,88.480593,83.44,12.98,53.22,43.73,7.5,0.193,2.67,4.17,0,3.25,50.94
12019,2026-09-02T15:55:00Z,22.467802,88.468645,61.31,0,3.81,3.66,4.55,0.081,2.53,3.98,0,0.55,8.52
13006,2026-09-03T18:02:00Z,22.455316,88.161626,105.94,22.15,164.33,99.97,31.7,0.137,5.32,4.24,0,0.15,110.0
13005,2026-09-04T21:09:00Z,22.531436,88.238265,40.45,14.02,161.43,275.99,10.31,0.227,3.28,1.93,0,0.97,258.1
12020,2026-09-05T00:16:00Z,22.438888,88.336214,82.66,12.89,12.62,9.64,19.6,0.181,3.51,2.5,1,2.55,25.61
12020,2026-09-06T03:23:00Z,22.748483,88.386632,45.41,6.61,63.81,102.05,0,0.558,6.99,2.09,0,2.28,101.73
12020,2026-09-07T06:30:00Z,22.411767,88.362449,55.13,10.19,132.21,166.59,14.64,0.343,5.02,8.97,1,1.33,174.66
12020,2026-09-08T09:37:00Z,22.634162,88.214721,102.87,13.14,126.31,68.83,11.06,0.523,3.51,4.12,0,1.47,84.51
12020,2026-09-09T12:44:00Z,22.494426,88.528438,107.21,0,135.27,68.78,2.41,0.531,7.02,7.95,0,2.56,93.03
13005,2026-09-01T15:51:00Z,22.670751,88.205362,81.77,12.15,39.66,33.17,8.86,0.089,3.57,1.12,0,0.66,32.48
12019,2026-09-02T18:58:00Z,22.442948,88.43393,51.48,22.22,23.1,28.74,19.77,0.539,5.76,4.03,0,1.73,39.66
13006,2026-09-03T21:05:00Z,22.451784,88.210199,104.28,11.06,162.2,98.75,6.0,0.486,7.71,6.15,1,1.57,120.05
12302,2026-09-04T00:12:00Z,22.544092,88.287117,76.86,22.26,114.03,89.24,21.07,0.155,3.04,6.36,0,2.37,106.09
13006,2026-09-05T03:19:00Z,22.499534,88.532486,100.81,5.34,89.05,60.05,0,0.216,3.6,2.39,0,1.68,62.13
13005,2026-09-06T06:26:00Z,22.412141,88.276778,113.17,28.85,128.99,68.38,27.25,0.604,1.29,3.99,0,1.91,85.2
12019,2026-09-07T09:33:00Z,22.577593,88.408898,43.31,21.78,82.37,141.65,19.3,0.037,7.49,1.93,0,3.05,135.46
12019,2026-09-08T12:40:00Z,22.55609,88.186992,72.65,22.96,54.3,55.18,22.17,0.118,7.3,4.09,0,2.66,58.01
12301,2026-09-09T15:47:00Z,22.61111,88.354622,84.73,21.11,37.54,28.82,22.78,0.103,7.7,0,0,0,35.07
12301,2026-09-01T18:54:00Z,22.501022,88.472269,111.76,15.83,66.91,34.19,12.01,0.318,7.12,6.02,0,2.47,54.54
12020,2026-09-02T21:01:00Z,22.623582,88.259332,95.57,9.16,76.31,57.13,6.89,0.229,7.53,2.27,0,1.08,60.61
12302,2026-09-03T00:08:00Z,22.491937,88.532411,80.02,14.18,128.71,112.37,16.62,0.552,6.84,3.36,0,3.01,119.41
13006,2026-09-04T03:15:00Z,22.597951,88.497338,72.53,10.12,118.72,119.08,5.07,0.627,7.96,5.66,1,1.14,127.98
13006,2026-09-05T06:22:00Z,22.734305,88.169486,91.73,0,175.44,136.14,5.81,0.041,4.23,1.51,1,0,133.77
12019,2026-09-06T09:29:00Z,22.640921,88.188333,77.67,20.89,168.73,140.76,21.22,0.113,6.79,1.18,0,0.48,145.68
13005,2026-09-07T12:36:00Z,22.696124,88.435019,61.65,6.59,28.44,26.24,15.11,0.43,4.52,5.47,0,0,37.46
13006,2026-09-08T15:43:00Z,22.410066,88.47583,98.07,0,23.17,15.04,8.2,0.152,5.18,4.32,0,0,25.98
12302,2026-09-09T18:50:00Z,22.505576,88.154109,41.58,7.58,125.88,207.2,10.79,0.054,1.23,0.77,0,0,196.67
12301,2026-09-01T21:57:00Z,22.654994,88.246729,100.41,8.38,165.86,96.32,10.98,0.156,7.64,1.88,0,2.14,109.15
13005,2026-09-02T00:04:00Z,22.743455,88.319637,36.15,0,148.07,286.83,0,0.258,4.32,2.62,0,0.29,274.51
13005,2026-09-03T03:11:00Z,22.610136,88.274803,50.48,21.85,22.97,33.99,23.57,0.11,1.28,3.12,0,2.12,41.15
12020,2026-09-04T06:18:00Z,22.643263,88.541028,50.33,0,75.09,111.43,4.31,0.899,5.7,3.66,0,2.31,118.11
13006,2026-09-05T09:25:00Z,22.49554,88.465797,113.28,16.82,176.08,86.05,21.32,0.568,6.08,3.99,0,0.75,101.3
13006,2026-09-06T12:32:00Z,22.574347,88.1607,114.89,38.17,66.03,39.08,33.61,0.355,4.43,3.99,1,4.76,61.63
12302,2026-09-07T15:39:00Z,22.520265,88.493869,64.44,0,123.22,109.39,0,0.07,2.41,1.66,0,0.03,115.45
13005,2026-09-08T18:46:00Z,22.509361,88.305632,31.59,13.67,138.22,327.3,11.95,0.327,2.24,1.43,0,0,299.74
12301,2026-09-09T21:53:00Z,22.499553,88.17457,81.2,19.11,89.83,72.61,13.65,0.627,5.14,3.96,0,0.06,78.58
13005,2026-09-01T00:00:00Z,22.506719,88.285038,34.06,9.88,151.14,272.12,8.72,0.147,5.63,2.63,0,3.37,279.59
12301,2026-09-02T03:07:00Z,22.570926,88.426346,78.46,8.04,9.62,8.31,2.72,0.303,3.22,4.34,0,0.9,18.21
12302,2026-09-03T06:14:00Z,22.54071,88.240354,60.24,2.63,91.99,107.0,8.47,0.267,6.51,4.4,0,0,116.23
13006,2026-09-04T09:21:00Z,22.63221,88.275341,116.21,19.83,130.03,74.01,16.48,0.395,1.54,2.71,0,0,79.18
12020,2026-09-05T12:28:00Z,22.615048,88.457648,66.21,10.53,113.62,109.0,7.39,0.025,2.49,5.3,0,0.62,116.2
12020,2026-09-06T15:35:00Z,22.696088,88.256774,114.12,5.26,131.61,63.73,6.96,0.141,3.87,4.69,0,3.0,75.77
12019,2026-09-07T18:42:00Z,22.490439,88.471415,88.14,5.92,48.39,36.58,7.29,0.108,4.92,0,1,2.05,48.53
13006,2026-09-08T21:49:00Z,22.710002,88.308758,79.56,14.56,117.04,80.74,13.06,0.115,1.45,0,0,2.98,88.69
13006,2026-09-09T00:56:00Z,22.658033,88.472337,105.85,4.93,44.78,27.92,4.93,0.317,4.48,5.55,0,2.29,37.41
13006,2026-09-01T03:03:00Z,22.638958,88.535326,51.23,27.42,77.85,86.65,33.42,0.275,3.62,7.82,0,0.56,107.58
12302,2026-09-02T06:10:00Z,22.526999,88.4749,62.67,35.87,129.67,147.42,37.59,0.332,5.83,3.69,0,0.12,145.43
12301,2026-09-03T09:17:00Z,22.553596,88.276874,78.14,33.5,44.84,36.32,46.2,0.75,6.3,5.25,0,1.76,55.77
13006,2026-09-04T12:24:00Z,22.610741,88.475371,66.57,20.54,9.0,9.76,9.9,0.199,7.14,4.39,0,0,15.88
13006,2026-09-05T15:31:00Z,22.627213,88.202037,59.41,9.63,126.05,148.53,7.62,0.374,1.78,2.51,0,0.62,140.92
13005,2026-09-06T18:38:00Z,22.47857,88.529244,91.72,0,143.3,94.85,1.1,0.132,2.39,1.44,0,1.69,104.3
13005,2026-09-07T21:45:00Z,22.441073,88.437433,88.24,2.93,113.91,94.3,6.21,0.488,2.82,3.74,0,0,99.57
12020,2026-09-08T00:52:00Z,22.654348,88.225745,99.6,2.87,167.31,119.89,3.01,0.115,6.23,0.89,0,2.28,116.62
12302,2026-09-09T03:59:00Z,22.489679,88.188112,66.77,28.21,28.83,25.95,27.69,0.508,5.81,6.8,0,0.57,39.21
12301,2026-09-01T06:06:00Z,22.712279,88.16645,34.69,1.68,167.8,309.04,7.09,0.35,1.04,1.44,0,1.16,305.27
12302,2026-09-02T09:13:00Z,22.661738,88.520495,53.43,5.31,92.16,126.86,7.23,0.388,1.31,2.81,0,3.17,121.65
12019,2026-09-03T12:20:00Z,22.419099,88.223257,111.25,20.81,49.59,31.84,18.13,0.226,7.65,0,0,0.04,33.91
12020,2026-09-04T15:27:00Z,22.432752,88.497269,53.42,12.38,127.96,151.3,23.82,0.055,4.45,2.08,0,1.72,154.49
12302,2026-09-05T18:34:00Z,22.499498,88.542534,105.15,0,135.74,92.01,0,0.651,2.26,5.92,0,0.66,99.52
12301,2026-09-06T21:41:00Z,22.62966,88.530358,65.48,14.99,107.49,121.44,16.49,0.087,7.69,1.36,0,5.17,120.37
12019,2026-09-07T00:48:00Z,22.669807,88.309567,115.27,11.53,179.97,114.04,9.02,0.673,6.21,2.09,0,0.61,114.85
12301,2026-09-08T03:55:00Z,22.632932,88.482821,106.71,17.41,31.84,21.0,15.59,0.423,6.64,6.95,0,0.88,33.67
13005,2026-09-09T06:02:00Z,22.649772,88.522267,47.99,8.43,81.84,106.0,15.16,0.139,5.41,4.56,0,2.19,113.68
13005,2026-09-01T09:09:00Z,22.426786,88.168038,86.66,0,95.87,66.49,0,0.495,6.89,5.65,0,1.07,80.57
12301,2026-09-02T12:16:00Z,22.653433,88.452942,75.96,6.6,76.1,63.88,0,0.193,6.5,3.11,0,0.82,68.67
12020,2026-09-03T15:23:00Z,22.460107,88.340848,86.14,1.67,49.92,43.06,3.9,0.153,1.74,1.68,0,1.95,44.61
13006,2026-09-04T18:30:00Z,22.643611,88.225288,66.46,8.72,119.42,125.11,4.52,0.463,5.73,4.14,0,0.6,128.61
12301,2026-09-05T21:37:00Z,22.565021,88.493919,48.83,27.14,117.81,163.2,20.69,0.242,2.16,4.07,0,0.07,156.48
13005,2026-09-06T00:44:00Z,22.579675,88.439846,51.84,2.99,55.19,76.03,5.83,0.137,4.47,0,0,0.05,75.04
13006,2026-09-07T03:51:00Z,22.556914,88.324492,111.46,12.33,156.57,82.7,13.24,0.466,7.22,4.01,0,0,93.13
12302,2026-09-08T06:58:00Z,22.67859,88.469902,55.92,10.79,37.02,40.53,14.29,0.332,3.05,2.11,0,0,46.1
12302,2026-09-09T09:05:00Z,22.406346,88.502362,85.97,0,52.99,42.99,0,0.339,7.96,2.44,0,1.32,49.58
12019,2026-09-01T12:12:00Z,22.713711,88.491363,90.92,0,33.92,26.88,0,0.35,4.4,6.9,0,1.1,37.41
13005,2026-09-02T15:19:00Z,22.526573,88.44134,84.39,0,21.43,13.98,8.45,0.596,4.55,3.2,0,1.95,29.07
13006,2026-09-03T18:26:00Z,22.429832,88.298975,69.74,21.71,92.54,92.08,25.93,0.149,3.91,2.78,0,0.08,92.06
12020,2026-09-04T21:33:00Z,22.410417,88.208234,62.46,19.96,120.7,110.51,20.08,0.22,4.21,0.79,0,1.59,119.27
